ticker,price,volume,market_cap,volatility,exchange
CAPR,26.02,2831468,1415469440,1324.39,NCM
AHMA,7.37,1754318,219073248,745.9,NCM
PLRZ,12.61,3089782,13135547,608.1,NCM
CETX,2.96,2676663,2187401,515.56,NCM
KTTA,1.13,6920603,25310780,505.36,NCM
NCPL,1.09,5060996,5360500,490.82,NCM
ZYXI,0.74,4769234,22487590,488.62,NMS
MNDR,1.33,3270569,3534661,472.66,NCM
KITT,0.91,7861561,5183524,460.64,NCM
CETY,0.96,5994630,7131090,447.51,NCM
EPSM,2.59,1609907,34804508,441.43,NCM
CMCT,4.28,1571153,3377994,434.53,NCM
BEAT,2.3,9073046,79220192,426.38,NCM
WHLR,3.09,1708818,5511321,418.23,NCM
SGBX,3.51,8902150,1767193,412.36,NCM
AEHL,3.06,3402920,15826546,405.94,NCM
IRBT,4.32,14460039,137489200,345.8,NMS
RZLT,1.8,3652731,166909568,338.57,NCM
CYPH,1.44,25574282,81578656,324.56,NCM
LFS,3.9,2462551,102026424,319.24,NCM
MIGI,5.17,1342748,5910654,302.06,NCM
EB,4.43,1223187,434626176,282.51,NYQ
QTTB,2.96,3070065,36420884,281.78,NCM
RUBI,1.65,1125770,3369183,272.36,NCM
SEMR,11.87,2262060,1770810240,264.53,NYQ
PETS,2.94,2229293,62826392,253.98,NMS
CYCU,3.48,1801090,17364998,252.62,NGM
IBIO,1.94,6920298,43625380,250.38,NCM
PMCB,1.02,3282742,6931694,248.95,NCM
SLMT,2.22,2089353,183257824,243.82,NCM
AMIX,0.73,5383784,5069545,242.34,NCM
QCLS,4.77,4890757,19875446,240.93,NCM
AMBR,1.56,1645353,146145360,238.86,NGM
KALA,0.68,7846617,7244711,236.61,NCM
CGTL,1.12,1342350,28812000,235.54,NCM
RPGL,0.52,1981083,8957805,225.88,NCM
ZSPC,0.5,1575339,14612185,222.92,NCM
JFBR,1.17,1025257,790182,217.42,NCM
LOBO,1.0,2613498,8903513,214.13,NCM
BENF,0.6,20324146,66620876,213.73,NCM
VEEE,1.82,1215525,4071884,208.05,NCM
SIDU,1.01,2406252,35599960,205.74,NCM
JANX,15.3,1491571,920261504,204.18,NGM
ONMD,1.52,6544073,77758744,204.02,NCM
DVLT,1.38,79424096,393599680,203.75,NCM
SSP,4.39,1491128,389841344,202.68,NMS
CGC,1.74,22747190,641115968,200.84,NMS
FTEL,0.7,4819675,1695590,199.83,NCM
FULC,13.0,1215620,857613824,197.41,NGM
TLRY,12.15,7165340,1409399936,194.15,NMS
AGIO,27.27,1231647,1590217728,193.96,NMS
IVDA,1.04,4838955,6114931,193.04,NCM
NXXT,1.73,2154584,234252960,190.67,NCM
SGML,10.93,6078268,1217426944,186.72,NCM
INV,5.61,1083298,350467776,183.6,NGM
BCAB,0.82,1394638,48468196,183.28,NCM
PMAX,2.62,1032847,6404377,182.9,NCM
AVXL,4.02,2305080,359179392,180.08,NMS
AIIO,0.54,12404588,181294352,179.76,NCM
YDKG,0.95,1226968,5279523,178.85,NCM
LNAI,1.07,3981211,25072660,176.98,NCM
ABVE,2.07,3698407,105967120,176.65,NGM
OSRH,0.64,4964457,16430584,174.34,NCM
SNTI,1.31,1486106,34440996,173.7,NCM
TSSI,7.58,2261917,218645376,172.49,NCM
FRGT,0.6,7665833,3539375,170.61,NCM
QH,1.58,1985590,1574647,170.1,NGM
BYND,1.09,199084844,494391520,168.28,NMS
BTTC,2.75,1298126,21239958,165.95,NCM
VOR,12.51,1385021,274102016,163.72,NMS
IVVD,2.32,7091766,540844928,161.62,NGM
GTBP,0.66,2094452,7017722,161.61,NCM
PBM,1.58,1206912,2957840,160.5,NCM
DGXX,3.21,4791338,209663696,160.33,NCM
EPWK,1.21,2219021,913239,158.3,NGM
